source,song_name,artist,Classification,Mood,Video Theme,Instrument,Genre,BPM,LMM Description,Others,Useless
Artlist,Sharp Knives - Instrumental Version,Damon Power,Vigorous,"Uplifting, Carefree, Groovy, Exciting","Technology, Urban, Fashion","Synth, Electronic Drums, Bass","Electronic, Hip Hop",150.0,"A dark and intense trap instrumental with a futuristic, sci-fi vibe. The track features heavy 808 bass, punchy drums, vocal chops, and glitchy sound effects. The mood is tense and intense, with a sense of danger and urgency. The music is perfect for action scenes, sports, and other high-energy content.",nan,nan
Artlist,Rundown,Sam River,Dreamy,"Serious, Dramatic, Exciting","Business, Sport & Fitness, Shorts","Synth, Electronic Drums, Brass, Pads, Bass",Cinematic,0.0,"A bold and exciting jingle with a sense of excitement and adventure. The main instruments include brass, synthesizers, and drums. The genre/style is action, adventure, and sports. This jingle would be suitable for use in video games, sports broadcasts, and other media that require a sense of excitement and adventure.",nan,nan
Artlist,Be Quiet,Kashido,Humorous,"Playful, Funny, Mysterious","Nature, Slow Motion, Shorts","Piano, Strings, Orchestra, Brass, Woodwinds","Cinematic, Children",50.0,"This is a sneaky and funny piece of music featuring pizzicato strings, double bass, celesta, and percussion. It has a playful and sneaky mood and is great for comedies, cartoons, and other light-hearted projects.",nan,nan
Artlist,Little One - Short Version,Stanley Gurvich,Calm,"Serious, Dramatic, Sad","Time-Lapse, Documentary, Slow Motion",Piano,"Ambient, Cinematic",109.0,"A sad and melancholic piano solo, featuring a melancholic and nostalgic melody. The piano is played with a soft and gentle touch, evoking a sense of longing and nostalgia. The mood is one of sadness and melancholy, with a touch of hope. This music would be suitable for use in a drama or documentary, as it creates a sense of sadness and longing. It could also be used in a film or television scene where a character is reflecting on the past or missing someone.",nan,nan
Artlist,Begin Again - Short Version B,Stanley Gurvich,Sad,"Peaceful, Serious, Hopeful","Time-Lapse, Documentary, Drone Shots, Landscape, Slow Motion","Piano, Synth, Pads",Ambient,61.0,"The mood of the music is emotional, sad, and introspective. The genre of the music is soundtrack, ambient, and instrumental. The instruments used in the music are the piano and strings. This music would be suitable for videos that need a sad and emotional soundtrack, such as films, documentaries, and personal stories.",nan,nan
Artlist,Return - Short Version,Ziv Moran,Happy,"Uplifting, Carefree, Love, Peaceful, Serious, Hopeful","Business, Education, Road Trip, Lifestyle, Urban, Fashion, Medical, Drone Shots, Slow Motion, Travel","Acoustic Guitar, Electric Guitar, Keys, Electronic Drums, Pads","Cinematic, Corporate",102.0,"This is a positive and inspiring background music track featuring piano, strings, electric guitars, and claps. The uplifting and hopeful mood will evoke feelings of joy and happiness. It will certainly work well with corporate videos, business projects, presentations, commercials, advertising, TV ads, YouTube videos, vlogs, and more.",nan,nan
Artlist,Energetic Loop,Artlist Musical Logos,Vigorous,"Uplifting, Carefree, Groovy, Exciting","Technology, Sport & Fitness, Fashion, Industry, Travel, Commercial, Intros & Logos","Electric Guitar, Acoustic Drums",Rock,115.0,"A hard-hitting, edgy, gritty, dark and driving rock track with a strong, powerful and intense riff, featuring a driving rhythm section of bass and drums, with a grinding, relentless, and heavy guitar sound. The track has a determined, strong and assertive feel, with a sense of power and confidence. It would suit action, sports, extreme sports, fight scenes, car chases, and other high-octane media.",nan,nan
Artlist,The Most Important - Intro - No SFX,Ziv Moran,Agitated,"Uplifting, Powerful, Serious, Dramatic, Playful, Hopeful, Exciting","Business, Technology, Industry","Acoustic Drums, Strings, Bells, Synth, Keys, Electronic Drums","Cinematic, Electronic",130.0,"A powerful and epic orchestral theme that evokes the feeling of victory and triumph. Featuring a powerful string section, epic brass, and a dramatic beat, this music is perfect for any scene that needs to convey a sense of triumph and victory. Whether it's a sports victory, a successful business venture, or a personal achievement, this music will help to convey the sense of accomplishment and pride that comes with achieving something great.",nan,nan
Artlist,Childhood Memory Ident,Artlist Musical Logos,Calm,"Dramatic, Sad, Mysterious",Intros & Logos,"Piano, Strings",Cinematic,118.0,"A piano plays a melancholic melody accompanied by a string section. The song is slow and emotional, with a nostalgic and reflective mood. It could be used in the soundtrack of a drama movie or TV show, particularly in scenes that depict a character reflecting on their past or reminiscing about a loved one. It could also be used in a commercial to evoke a sense of nostalgia or longing.",nan,nan
Artlist,No Land for a War Man - Short Version B,Wild Tulip,Sad,"Serious, Dramatic, Sad, Hopeful","Time-Lapse, Documentary, Urban, Drone Shots, Landscape, Nature, Slow Motion",Piano,"Cinematic, Acoustic, Classical",104.0,"A solo piano piece that evokes a feeling of sadness and longing. The music is slow and contemplative, with a beautiful melody that is both haunting and captivating. The piano is the sole instrument used in this piece, and it is played with great emotion and passion. This music would be perfect for use in a film or television scene that needs to convey a sense of sadness or longing. It could also be used in a video game or advertisement that needs to evoke a similar emotion.",nan,nan
Artlist,Good Times,Kyle Preston,Calm,"Uplifting, Carefree, Love, Peaceful, Serious, Sad, Playful, Hopeful","Time-Lapse, Documentary, Road Trip, Lifestyle, Science, Medical, Drone Shots, Landscape, Nature, Slow Motion",Piano,Cinematic,128.0,A warm and nostalgic solo piano track with a calm and sentimental mood. It features a simple and tender melody that is played on a beautiful old upright piano. The piano has a warm and vintage sound that evokes a sense of nostalgia and longing.,nan,nan
Artlist,Cinematic Fantasy Opener,Artlist Musical Logos,Serious,"Serious, Dramatic, Tense","Trailer, Intros & Logos","Synth, Bass",Cinematic,97.0,"A powerful, cinematic, hybrid trailer track with a strong emphasis on the big, brash, bold, cinematic sound. This track features a huge hybrid orchestra, with lots of big, brash brass, strings, and choir, along with lots of heavy, punchy drums and percussion. It has a big, blockbuster sound, and would be perfect for trailers, video games, and other media projects that require a big, brash, cinematic sound.",nan,nan
Artlist,Orchestral Classic,Artlist Musical Logos,Serious,"Uplifting, Serious, Dramatic, Hopeful, Epic","Drone Shots, Landscape, Slow Motion, Shorts, Intros & Logos","Piano, Strings, Bells, Orchestra",Cinematic,76.0,"This orchestral piece evokes the feeling of wonder and excitement. The string section provides a sense of wonder, while the brass section adds a sense of triumph. The mood is playful and uplifting. This music would be suitable for a scene in which a character discovers something amazing, such as a magical portal or a hidden treasure. It could also be used in a scene in which a character achieves a great victory, such as winning a competition or defeating a powerful enemy.",nan,nan
Artlist,The Rain Part - Short Version,Assaf Ayalon,Serious,"Uplifting, Carefree, Serious, Exciting","Sport & Fitness, Fashion","Acoustic Guitar, Acoustic Drums, Backing Vocals, Keys","Acoustic, Folk, Corporate",132.0,"The mood of this music is upbeat, energetic, and positive. The genre of the music is electronic, dance, and pop. The main instruments used in the music are the piano, synthesizer, and electric guitar. This music is perfect for use in corporate videos, business projects, presentations, commercials, advertising, TV ads, YouTube videos, vlogs, and more. It can also be used in fitness and workout videos, as it has a motivational and inspiring tone.",nan,nan
Artlist,Second Smile - Short Version A,LMOP,Humorous,"Playful, Funny, Mysterious",Nature,"Percussion, Bells, Keys, Woodwinds","Cinematic, Children",110.0,"Quirky and funny music track featuring pizzicato strings, piano, marimba, xylophone, and a light beat. The playful and humorous mood will evoke feelings of childish mischief and silly pranks. It will work well with children's shows, comedy, and reality TV.",nan,nan
Artlist,Lights - Alternative - Short Version,The Places,Humorous,"Uplifting, Carefree, Serious, Playful, Funny","Business, Education","Acoustic Guitar, Acoustic Drums, Percussion, Synth, Keys","Electronic, Acoustic, Children",118.0,"The mood of this music is positive, uplifting, and happy. The genre of this music is pop, folk, and country. The instruments used in this music are electric guitar, acoustic guitar, bass, and drums. This music is suitable for videos about travel, nature, family, and friendship. It can also be used in the background of commercials, advertisements, and TV shows.",nan,nan
Artlist,Facebook - Short Version,LMOP,Humorous,"Uplifting, Carefree, Love, Playful, Groovy","Food, Education, Road Trip, Lifestyle, Urban","Electric Guitar, Acoustic Drums, Percussion, Claps & Snaps, Whistle, Backing Vocals","Children, Corporate",104.0,"This music is upbeat, energetic, and cheerful. The instruments used are ukulele, electric guitar, bass, drums, and whistling. The genre of this music is jazz, pop, and blues. This music is suitable for vlogs, YouTube videos, and advertising. It can also be used in corporate videos, business projects, and presentations. The mood of this music is happy, positive, and cheerful.",nan,nan
Artlist,Fun to Wake Up,Artlist Musical Logos,Humorous,"Uplifting, Happy, Carefree, Playful",Intros & Logos,"Acoustic Guitar, Acoustic Drums, Ethnic, Woodwinds","Cinematic, World, Fantasy",110.0,"A happy and lively medieval folk song featuring a flute, recorder, and strings. It has a lively and energetic feel, perfect for advertising, marketing, and other projects.",nan,nan
Artlist,Action Opening,Artlist Musical Logos,Agitated,"Dramatic, Angry, Tense, Dark","Trailer, Intros & Logos","Electric Guitar, Synth, Electronic Drums, Pads",Cinematic,120.0,"The music is epic and cinematic with a driving, pulsing beat and layers of guitar and synthesizer. The mood is intense and dramatic, with a sense of urgency and foreboding. The instruments include electric guitar, synthesizer, bass, and drums. This music would be suitable for use in action scenes, chase scenes, and moments of tension in a film or video game.",nan,nan
Artlist,Fall - Short Version,Stanley Gurvich,Sad,"Peaceful, Serious, Dramatic, Sad","Time-Lapse, Documentary, Slow Motion",Piano,Cinematic,90.0,"A calm, contemplative piano piece with a sad, nostalgic tone. Perfect for drama, tragedy, or reflective moments.",nan,nan
Artlist,The Night of the Bowl,Artlist Musical Logos,Calm,"Love, Peaceful, Hopeful","Lifestyle, Urban, Nature, Vlog, Intros & Logos",Piano,"Cinematic, Classical, Holiday",82.0,"This is a beautiful, soft, and emotional piano piece that will evoke feelings of nostalgia, longing, and romance. The gentle and soothing piano melody will capture your heart and take you on a journey through memories and emotions. The music is perfect for movies, documentaries, weddings, romantic scenes, and any project that needs a touch of elegance and beauty.",nan,nan
Artlist,Circus Clown - Short Version,Ian Post,Dreamy,"Uplifting, Happy, Carefree, Love, Playful, Hopeful","Technology, Food, Road Trip, Lifestyle, Urban, Medical, Landscape, Nature, Travel","Mandolin & Ukulele, Acoustic Guitar, Piano, Acoustic Drums, Claps & Snaps, Backing Vocals, Keys, Bass","Folk, Corporate",117.0,"A happy, upbeat and inspiring track featuring acoustic guitar, piano, strings, and percussion. It has a positive and uplifting mood that will make you feel happy and motivated. This track is perfect for use in commercials, advertisements, TV ads, YouTube videos, vlogs, and more.",nan,nan
Artlist,King of Mandol - Short Version B,LMOP,Vigorous,"Uplifting, Happy, Carefree, Playful","Food, Education, Road Trip","Mandolin & Ukulele, Acoustic Drums, Claps & Snaps","Country, Acoustic, Folk",96.0,"A traditional Irish folk track with a upbeat, happy and energetic mood. Features mandolin, acoustic guitar, claps, hand claps, bass, drums and fiddle. Perfect for St Patrick's Day, Irish videos, advertising, commercials, YouTube videos, vlogs, travel videos, background music, podcasts, and more.",nan,nan
Artlist,Star Dust - Short Version,Kuyani,Vigorous,"Uplifting, Happy, Carefree, Playful, Groovy, Exciting","Business, Technology, Road Trip, Lifestyle, Urban, Party, Travel","Electric Guitar, Synth, Pads","Cinematic, Electronic",117.0,"A cool and groovy, uplifting, and energetic, electro pop track with a feel-good, summer vibe. Featuring piano, guitars, synths, and drums. Perfect for travel vlogs, commercials, advertising, lifestyle, fashion, corporate videos, YouTube videos, TikTok videos, Instagram stories, Vimeo videos, and more.",nan,nan
Artlist,Others - Short Version B,Wild Tulip,Sad,"Love, Peaceful, Serious, Dramatic, Sad, Hopeful",Documentary,Piano,Cinematic,104.0,"A sentimental and emotional piano melody plays in the background with a calm and soothing atmosphere. The piano plays the main melody with the addition of a soft and subtle strings section in the background. The song is slow tempo with a steady beat. The song is perfect for use in a drama, documentary, or emotional film scene.",nan,nan
Artlist,Voices - Short Version A,Voices,Dreamy,"Uplifting, Happy, Carefree, Love, Peaceful, Playful, Hopeful, Exciting","Business, Education, Road Trip, Lifestyle","Acoustic Guitar, Electric Guitar, Piano, Percussion, Bells, Backing Vocals","Acoustic, Folk, Corporate",109.0,"Upbeat, positive, and uplifting music track featuring acoustic guitar, piano, glockenspiel, and claps. The happy and inspiring mood will evoke feelings of joy and happiness. It will certainly work well with corporate videos, business projects, presentations, commercials, advertising, TV ads, YouTube videos, vlogs, and more.",nan,nan
Artlist,SEVEN WONDERS 2,Artlist Musical Logos,Calm,"Love, Peaceful, Playful","Medical, Shorts, Intros & Logos",Piano,Cinematic,89.0,"A short piano piece that evokes a sense of nostalgia and longing. It is a simple and sweet piece that would be suitable for use in a variety of settings, including film, television, and advertising.",nan,nan
Artlist,Sneaky Pizzicato Logo,Artlist Musical Logos,Humorous,"Playful, Mysterious","Nature, Shorts, Intros & Logos","Strings, Bass","Cinematic, Children",120.0,"A mischievous and sneaky orchestral piece featuring pizzicato strings, woodwinds, and harp. Great for dramedy, comedies, reality TV, and light tension.",nan,nan
Artlist,Hard Rock Loop,Artlist Musical Logos,Agitated,"Powerful, Carefree, Serious, Dramatic, Angry","Sport & Fitness, Industry, Slow Motion, Gaming, Shorts, Intros & Logos","Electric Guitar, Acoustic Drums",Rock,105.0,"A hard hitting, edgy rock track with a relentless groove. Featuring gritty, distorted electric guitars, punchy drums and a bassline that keeps the rhythm going. This track is perfect for action scenes, extreme sports, car chases and high intensity moments. It will also work well with commercials, promos and TV ads.",nan,nan
Artlist,Extreme Power Lifter,Artlist Musical Logos,Agitated,"Powerful, Serious, Dramatic, Tense, Dark","Sport & Fitness, Industry, Gaming, Trailer, Intros & Logos","Synth, Electronic Drums, Bass",Cinematic,123.0,"A powerful, cinematic royalty-free cinematic trailer intro, with epic drums, strings, hits, risers, and edgy sound design, best for trailers, openers, intros, video games, and action scenes.",nan,nan
Artlist,Mysterious Musical Ident 2,Artlist Musical Logos,Sad,"Dramatic, Sad, Playful, Dark, Mysterious","Time-Lapse, Documentary, Landscape, Nature, Slow Motion, Shorts, Intros & Logos","Piano, Bells, Pads",Cinematic,60.0,"A beautiful and calming orchestral piece that features a gentle piano melody, warm strings, and soft percussion. The music is soothing and calming, creating a sense of peace and tranquility. It is perfect for cinematic projects, commercials, advertisements, and any other media that needs a gentle and calming background.",nan,nan
Artlist,Funk Band Intro 1,Artlist Musical Logos,Vigorous,"Happy, Carefree, Playful","Commercial, Shorts, Intros & Logos","Acoustic Drums, Keys, Brass, Bass",Funk,90.0,"This groovy and funky jingle features a vintage electric guitar, bass, drums, organ, and horns. It has a retro and vintage vibe that evokes feelings of fun, excitement, and nostalgia. It would be perfect for opening a podcast, video game, or commercial.",nan,nan
Artlist,Jester - Short Version,Ian Post,Dreamy,"Happy, Carefree, Love, Peaceful, Playful, Hopeful","Business, Technology, Time-Lapse, Education, Documentary, Lifestyle, Landscape, Nature, Travel","Mandolin & Ukulele, Piano, Acoustic Drums, Strings, Claps & Snaps, Backing Vocals, Keys","Cinematic, Corporate",108.0,"A cinematic and ambient piece of music, featuring piano, strings, and synthesizers. The mood is mysterious and reflective, with a sense of intrigue and wonder. The instruments are rich and full, creating a lush and evocative soundscape. This music would be perfect for film, television, or video games, as it has a sense of drama and emotion that would enhance any project.",nan,nan
Artlist,Drive - Short Version,Zac Nelson,Vigorous,"Uplifting, Powerful, Happy, Carefree, Love, Serious, Playful, Hopeful, Exciting","Technology, Road Trip, Urban, Fashion, Industry, Slow Motion, Travel","Acoustic Guitar, Electric Guitar, Acoustic Drums, Backing Vocals","Rock, Pop",83.0,"A powerful and energetic Indie Rock track featuring catchy guitar riffs, groovy bass lines, punchy drums and epic strings. The driving rhythm and uplifting melodies make it perfect for any project that needs a high-energy and inspiring soundtrack.",nan,nan
Artlist,Likes - Short Version B,LMOP,Humorous,"Uplifting, Happy, Love, Playful","Food, Education","Electric Guitar, Piano, Acoustic Drums, Percussion, Claps & Snaps, Bells, Keys",Children,90.0,"This is a fun and playful music track featuring ukulele, piano, bass, and drums. The music is bouncy and upbeat, with a carefree and playful mood. It is perfect for use in children's videos, commercials, and other media that needs a light and happy tone.",nan,nan
Artlist,Trickster - Short Version,Ian Post,Happy,"Uplifting, Happy, Carefree, Playful, Hopeful, Exciting","Food, Education, Road Trip, Lifestyle, Nature, Travel","Mandolin & Ukulele, Acoustic Guitar, Acoustic Drums, Strings, Claps & Snaps, Synth, Backing Vocals, Bass","Children, Corporate",97.0,"This track is a positive and uplifting pop folk track with a catchy melody and a fun, playful vibe. The main instruments are acoustic guitars, ukulele, piano, and a light, airy flute. The rhythm is lively and upbeat, with a bouncy beat and a catchy bassline. The overall mood is cheerful and uplifting, making it perfect for use in commercials, advertising, and other media projects that require a positive and upbeat sound.",nan,nan
Artlist,Takes Me to the Lake - Short Version A,Dan Ayalon,Happy,"Uplifting, Happy, Hopeful","Food, Education, Lifestyle, Urban, Travel","Acoustic Guitar, Acoustic Drums, Percussion, Whistle","Acoustic, Children",92.0,"A fun and upbeat country folk track with a happy whistling melody. Features acoustic guitar, bass, drums, and piano. Great for advertising, commercials, and any project that needs a positive and carefree vibe.",nan,nan
Artlist,Winter Lullaby - Short Version,Roie Shpigler,Calm,"Uplifting, Love, Peaceful, Dramatic, Hopeful","Time-Lapse, Documentary, Nature, Shorts","Piano, Strings, Keys","Cinematic, Acoustic",70.0,"Warm and hopeful, featuring a tender piano melody and gentle strings that create a sentimental, nostalgic mood.",nan,nan
Artlist,Astral Annihilation,Artlist Musical Logos,Agitated,"Uplifting, Powerful, Carefree, Serious, Dramatic, Groovy, Exciting","Sport & Fitness, Fashion, Industry, Slow Motion, Gaming, Shorts, Intros & Logos","Electric Guitar, Acoustic Drums",Rock,127.0,"This is a powerful, aggressive, and energetic hard rock track featuring a catchy riff, a powerful groove, and a dynamic atmosphere. It is perfect for use in action scenes, extreme sports videos, and any content that needs a powerful and energetic soundtrack.",nan,nan
Artlist,Forest Landspace,Artlist Musical Logos,Calm,"Peaceful, Serious","Technology, Lifestyle, Commercial, Vlog, Intros & Logos","Piano, Pads",Cinematic,118.0,"A soft and ambient background track featuring piano, birds chirping, and atmospheric synths. The music is relaxing and peaceful, creating a tranquil and soothing atmosphere. It is perfect for background music in films, documentaries, or YouTube videos.",nan,nan
Artlist,Baritone Steel and Synth,Artlist Musical Logos,Sad,"Serious, Dramatic, Sad, Hopeful","Landscape, Nature, Slow Motion, Shorts, Intros & Logos","Acoustic Guitar, Electric Guitar, Pads","Country, Folk",74.0,"Acoustic guitar ballad. A calm, emotional and reflective piece with a slight sense of nostalgia. Perfect for background music, advertising, corporate videos, presentations, YouTube videos, vlogs and more.",nan,nan
Artlist,Happy in the Puddles - Short Version C,Dan Ayalon,Happy,"Carefree, Serious",Education,"Acoustic Drums, Claps & Snaps, Whistle","Cinematic, Acoustic, Children, Corporate",105.0,"This is a positive and upbeat acoustic track with whistling, piano, claps, acoustic guitar, and a strong beat. The track has a feel-good and happy mood. It is perfect for advertising, commercials, and corporate videos.",nan,nan
Artlist,A Furry Affair - Creative Cut - Alternative,Semo,Humorous,"Uplifting, Happy, Playful, Funny","Food, Education, Nature, Shorts, Intros & Logos","Acoustic Drums, Strings, Bells, Orchestra, Brass, Woodwinds","Cinematic, Children, Retro",160.0,"The audio is a cartoon music piece. It is a dramatic, energetic, and exciting piece that is perfect for cartoon themes, animation, and comedy shows. The main instruments used in the piece are the trumpet, trombone, and orchestra. The genre of the piece is classical, and it has a playful and humorous mood. It would be perfect for cartoon scenes that require a dramatic and exciting score, such as chase scenes or battle scenes.",nan,nan
Artlist,Mercury - Short Version,Alon Ohana,Serious,"Serious, Groovy",Nature,"Acoustic Drums, Percussion","Cinematic, World, Acoustic",120.0,"This is a piece of cinematic percussion music with a strong rhythm and driving beat. The music is dramatic and intense, with a sense of urgency and tension. The main instruments are taiko drums, which create a powerful and pounding rhythm that is perfect for action scenes or intense moments in a film or video game. The music is also suitable for use in trailers or advertisements that need to create a sense of excitement and anticipation.",nan,nan
Artlist,The Oldest Man,Alon Ohana,Serious,"Powerful, Serious, Dramatic, Angry, Tense, Scary, Dark","Nature, Slow Motion, Travel, Trailer","Acoustic Drums, Percussion, Claps & Snaps, Backing Vocals, Orchestra, Brass","Cinematic, World",120.0,"This is a trailer music piece. It has a dramatic and epic mood, with powerful and intense orchestral instruments such as brass, drums, and choir. The genre is soundtrack, which is commonly used in movie trailers and video game soundtracks. Some suitable video or media use cases for this piece could be action movies, video game trailers, and epic commercials.",nan,nan
Artlist,Promised - Short Version B,Ziv Moran,Dreamy,"Uplifting, Powerful, Hopeful, Groovy, Exciting","Road Trip, Lifestyle, Urban, Medical, Landscape, Travel","Acoustic Guitar, Piano, Acoustic Drums, Bells, Backing Vocals","Acoustic, Pop, Folk",102.0,"A driving, upbeat, acoustic guitar-based instrumental with a driving beat and a sense of movement and progress. The mood is positive and uplifting, with a sense of accomplishment and satisfaction. The main instruments are acoustic guitar, piano, and drums. The genre/style is pop, folk, and instrumental. Suitable uses for this track include background music for corporate videos, presentations, and commercials, as well as in film and television soundtracks.",nan,nan
